ID,County,2000Population,CountySeat,StateAbbreviation,StateName
356,Lafayette County,7022,Mayo ,FL
357,Miami-Dade County,2253362,Miami ,FL
358,Santa Rosa County,117743,Milton ,FL
359,Jefferson County,12902,Monticello ,FL
360,Glades County,10576,Moore Haven ,FL
361,Collier County,251377,Naples ,FL
362,Marion County,258916,Ocala ,FL
363,Okeechobee County,35910,Okeechobee ,FL
364,Orange County,896344,Orlando ,FL
365,Putnam County,70423,Palatka ,FL
366,Bay County,148217,Panama City ,FL
367,Escambia County,294410,Pensacola ,FL
368,Taylor County,19256,Perry ,FL
369,Gulf County,13332,Port Saint Joe ,FL
370,Charlotte County,141627,Punta Gorda ,FL
371,Gadsden County,45087,Quincy ,FL
372,St. Johns County,123135,Saint Augustine ,FL
373,Seminole County,365196,Sanford ,FL
374,Sarasota County,325957,Sarasota ,FL
375,Highlands County,87366,Sebring ,FL
376,Bradford County,26088,Starke ,FL
377,Martin County,126731,Stuart ,FL
378,Leon County,239452,Tallahassee ,FL
379,Hillsborough County,998948,Tampa ,FL
380,Lake County,210528,Tavares ,FL
381,Brevard County,476230,Titusville ,FL
382,Gilchrist County,14437,Trenton ,FL
383,Indian River County,112947,Vero Beach ,FL
384,Hardee County,26938,Wauchula ,FL
385,Palm Beach County,1131184,West Palm Beach ,FL
386,Wilcox County,8577,Abbeville ,GA
387,Cook County,15771,Adel ,GA
388,Wheeler County,6179,Alamo ,GA
389,Dougherty County,96065,Albany ,GA
390,Bacon County,10103,Alma ,GA
391,Sumter County,33200,Americus ,GA
392,Columbia County,89288,Appling ,GA
393,Turner County,9504,Ashburn ,GA
394,Athens-Clarke County,101489,Athens ,GA
395,Fulton County,816006,Atlanta ,GA
396,Augusta-Richmond County,199775,Augusta ,GA
397,Decatur County,28240,Bainbridge ,GA
398,Lamar County,15912,Barnesville ,GA
399,Appling County,17419,Baxley ,GA
400,Pierce County,15636,Blackshear ,GA
401,Union County,17289,Blairsville ,GA
402,Early County,12354,Blakely ,GA
403,Fannin County,19798,Blue Ridge ,GA
404,Glynn County,67568,Brunswick ,GA
405,Haralson County,25690,Buchanan ,GA
406,Marion County,7144,Buena Vista ,GA
407,Taylor County,8815,Butler ,GA
408,Grady County,23659,Cairo ,GA
409,Gordon County,44104,Calhoun ,GA
410,Mitchell County,23932,Camilla ,GA
411,Cherokee County,141903,Canton ,GA
412,Franklin County,20285,Carnesville ,GA
413,Carroll County,87268,Carrollton ,GA
414,Bartow County,76019,Cartersville ,GA
415,Polk County,38127,Cedartown ,GA
416,Murray County,36506,Chatsworth ,GA
417,Habersham County,35902,Clarkesville ,GA
418,Evans County,10495,Claxton ,GA
419,Rabun County,15050,Clayton ,GA
420,White County,19944,Cleveland ,GA
421,Bleckley County,11666,Cochran ,GA
422,Miller County,6383,Colquitt ,GA
423,Columbus-Muscogee County,186291,Columbus ,GA
424,Rockdale County,70111,Conyers ,GA
425,Crisp County,21996,Cordele ,GA
426,Newton County,62001,Covington ,GA
427,Taliaferro County,2077,Crawfordville ,GA
428,Forsyth County,98407,Cumming ,GA
429,Cusseta-Chattahoochee County,14882,Cusseta ,GA
430,Randolph County,7791,Cuthbert ,GA
431,Lumpkin County,21016,Dahlonega ,GA
432,Paulding County,81678,Dallas ,GA
433,Whitfield County,83525,Dalton ,GA
434,Madison County,25730,Danielsville ,GA
435,McIntosh County,10847,Darien ,GA
436,Terrell County,10970,Dawson ,GA
437,Dawson County,15999,Dawsonville ,GA
438,DeKalb County,665865,Decatur ,GA
439,Seminole County,9369,Donalsonville ,GA
440,Coffee County,37413,Douglas ,GA
441,Douglas County,92174,Douglasville ,GA
442,Laurens County,44874,Dublin ,GA
443,Dodge County,19171,Eastman ,GA
444,Putnam County,18812,Eatonton ,GA
445,Elbert County,20511,Elberton ,GA
446,Schley County,3766,Ellaville ,GA
447,Gilmer County,23456,Ellijay ,GA
448,Fayette County,91263,Fayetteville ,GA
449,Ben Hill County,17484,Fitzgerald ,GA
450,Charlton County,10282,Folkston ,GA
451,Monroe County,21757,Forsyth ,GA
452,Clay County,3357,Fort Gaines ,GA
453,Peach County,23668,Fort Valley ,GA
454,Heard County,11012,Franklin ,GA
455,Hall County,139277,Gainesville ,GA
456,Quitman County,2598,Georgetown ,GA
457,Glascock County,2556,Gibson ,GA
458,Jones County,23639,Gray ,GA
459,Greene County,14406,Greensboro ,GA
460,Meriwether County,22534,Greenville ,GA
461,Spalding County,58417,Griffin ,GA
462,Harris County,23695,Hamilton ,GA
463,Hart County,22997,Hartwell ,GA
464,Pulaski County,9588,Hawkinsville ,GA
465,Jeff Davis County,12684,Hazlehurst ,GA
466,Towns County,9319,Hiawassee ,GA
467,Liberty County,61610,Hinesville ,GA
468,Banks County,14422,Homer ,GA
469,Clinch County,6878,Homerville ,GA
470,Wilkinson County,10220,Irwinton ,GA
471,Butts County,19522,Jackson ,GA
472,Pickens County,22983,Jasper ,GA
473,Jackson County,41589,Jefferson ,GA
474,Twiggs County,10590,Jeffersonville ,GA
475,Wayne County,26565,Jesup ,GA
476,Clayton County,236517,Jonesboro ,GA
477,Crawford County,12495,Knoxville ,GA
478,Walker County,61053,Lafayette ,GA
479,Troup County,58779,Lagrange ,GA
480,Lanier County,7241,Lakeland ,GA
481,Gwinnett County,588448,Lawrenceville ,GA
482,Lee County,24757,Leesburg ,GA
483,Oglethorpe County,12635,Lexington ,GA
484,Lincoln County,8348,Lincolnton ,GA
485,Jefferson County,17266,Louisville ,GA
486,Long County,10304,Ludowici ,GA
487,Stewart County,5252,Lumpkin ,GA
488,Toombs County,26067,Lyons ,GA
489,Bibb County,153887,Macon ,GA
490,Morgan County,15457,Madison ,GA
491,Cobb County,607751,Marietta ,GA
492,Henry County,119341,McDonough ,GA
493,Telfair County,11794,McRae ,GA
494,Candler County,9577,Metter ,GA
495,Baldwin County,44700,Milledgeville ,GA
496,Jenkins County,8575,Millen ,GA
497,Walton County,60687,Monroe ,GA
498,Jasper County,11426,Monticello ,GA
499,Calhoun County,6320,Morgan ,GA
500,Colquitt County,42053,Moultrie ,GA
501,Montgomery County,8270,Mount Vernon ,GA
502,Brantley County,14629,Nahunta ,GA
503,Berrien County,16235,Nashville ,GA
504,Coweta County,89215,Newnan ,GA
505,Baker County,4074,Newton ,GA
506,Irwin County,9931,Ocilla ,GA
507,Macon County,14074,Oglethorpe ,GA
508,Atkinson County,7609,Pearson ,GA
509,Bryan County,23417,Pembroke ,GA
510,Houston County,110765,Perry ,GA
511,Webster County,2390,Preston ,GA
512,Brooks County,16450,Quitman ,GA
513,Tattnall County,22305,Reidsville ,GA
514,Catoosa County,53282,Ringgold ,GA
515,Floyd County,90565,Rome ,GA
516,Washington County,21176,Sandersville ,GA
517,Chatham County,232048,Savannah ,GA
518,Treutlen County,6854,Soperton ,GA
519,Hancock County,10076,Sparta ,GA
520,Effingham County,37535,Springfield ,GA
521,Echols County,3754,Statenville ,GA
522,Bulloch County,55983,Statesboro ,GA
523,Chattooga County,25470,Summerville ,GA
524,Emanuel County,21837,Swainsboro ,GA
525,Screven County,15374,Sylvania ,GA
526,Worth County,21967,Sylvester ,GA
527,Talbot County,6498,Talbotton ,GA
528,Upson County,27597,Thomaston ,GA
529,Thomas County,42737,Thomasville ,GA
530,McDuffie County,21231,Thomson ,GA
531,Tift County,38407,Tifton ,GA
532,Stephens County,25435,Toccoa ,GA
533,Lowndes County,92115,Valdosta ,GA
534,Dooly County,11525,Vienna ,GA
535,Warren County,6336,Warrenton ,GA
536,Wilkes County,10687,Washington ,GA
537,Oconee County,26225,Watkinsville ,GA
538,Ware County,35483,Waycross ,GA
539,Burke County,22243,Waynesboro ,GA
540,Barrow County,46144,Winder ,GA
541,Camden County,43664,Woodbine ,GA
542,Johnson County,8560,Wrightsville ,GA
543,Pike County,13688,Zebulon ,GA
544,Dade County,15154,Trenton,GA
545,Hawaii County,148677,Hilo ,HI
546,Honolulu City and County,876156,Honolulu ,HI
547,Kauai County,58463,Lihue ,HI
548,Maui County,128094,Wailuku ,HI
549,Dallas County,40750,Adel ,IA
550,Monroe County,8016,Albia ,IA
551,Kossuth County,17163,Algona ,IA
552,Butler County,15305,Allison ,IA
553,Jones County,20221,Anamosa ,IA
554,Cass County,14684,Atlantic ,IA
555,Audubon County,6830,Audubon ,IA
556,Taylor County,6958,Bedford ,IA
557,Davis County,8541,Bloomfield ,IA
558,Boone County,26224,Boone ,IA
559,Des Moines County,42351,Burlington ,IA
560,Carroll County,21421,Carroll ,IA
561,Linn County,191701,Cedar Rapids ,IA
